1.507964473723100829e+00,1.536238807605408985e+00,-7.853981633974549403e-01,1.511957586636998307e+00,-1.359697463723315292e-01,1.545712606349063795e-02,-6.938893903907228378e-18,0.000000000000000000e+00
1.507964473723100829e+00,1.529955622298229345e+00,-1.570796326794909881e+00,1.507429992044128753e+00,-1.817462947003992690e+00,3.274764522787796447e-03,4.475043859541271019e+01,0.000000000000000000e+00
1.507964473723100829e+00,1.520530844337459886e+00,-2.356194490192364821e+00,1.500513992022736387e+00,-3.316242603423420920e+00,1.839283885272969665e-03,4.365716941635457715e+01,0.000000000000000000e+00
1.507964473723100829e+00,1.507964473723100829e+00,-3.141592653589764250e+00,1.490986325561863168e+00,-4.528470547731482831e+00,1.542357151962282661e-03,4.532575639095313136e+01,0.000000000000000000e+00
1.507964473723100829e+00,1.492256510455151730e+00,-3.926990816987274702e+00,1.478890780532216898e+00,-5.285515971912230881e+00,1.548530932183661861e-03,4.922163639889297571e+01,0.000000000000000000e+00
1.507964473723100829e+00,1.473406954533613034e+00,-4.712388980384673687e+00,1.467082257782807764e+00,-5.573544656302193090e+00,1.938602763956017794e-03,5.811118536392137202e+01,0.000000000000000000e+00
1.507964473723100829e+00,1.448274213304894698e+00,-6.283185307179583567e+00,1.460334571232520418e+00,-5.451929422770350975e+00,2.621738647192028027e-03,6.909978400058835746e+01,0.000000000000000000e+00
1.382300767579509149e+00,1.423141472076176361e+00,-6.283185307179583567e+00,1.408719379575673392e+00,-9.174495512004376963e+00,2.418203249936876163e-03,5.487898327213099492e+01,0.000000000000000000e+00
1.382300767579509149e+00,1.394867138193868206e+00,-7.068583470577038952e+00,1.371865172425598578e+00,-1.025830497949393916e+01,1.954892937042648077e-03,4.720705679109568820e+01,0.000000000000000000e+00
1.382300767579509149e+00,1.363451211657970230e+00,-7.853981633974493448e+00,1.349416277292644351e+00,-1.022302322519757389e+01,1.972087427545605662e-03,5.248429365983118799e+01,0.000000000000000000e+00
1.382300767579509149e+00,1.325752099814892837e+00,-9.424777960769347374e+00,1.328849528239191446e+00,-9.358997589927422922e+00,2.467397298653210315e-03,6.922001527666360232e+01,0.000000000000000000e+00
1.256637061435917246e+00,1.288052987971815222e+00,-9.424777960769404217e+00,1.267253065998184436e+00,-1.223200986431172765e+01,2.579388677109266826e-03,5.401083244583888643e+01,0.000000000000000000e+00
1.256637061435917246e+00,1.247212283475148009e+00,-1.021017612416680365e+01,1.226914563944087488e+00,-1.277321712286750532e+01,2.261009503893676807e-03,5.419986445056496649e+01,0.000000000000000000e+00
1.256637061435917246e+00,1.200088393671300935e+00,-1.178097245096176771e+01,1.201763260029510505e+00,-1.179385068183253260e+01,2.498838028802116262e-03,6.893939261838414723e+01,0.000000000000000000e+00
1.130973355292325566e+00,1.152964503867454082e+00,-1.178097245096171264e+01,1.141886934895174566e+00,-1.384194999168362905e+01,2.352163627853159650e-03,5.166982311987945309e+01,0.000000000000000000e+00
1.130973355292325566e+00,1.102699021410017410e+00,-1.256637061435916713e+01,1.092944569371694152e+00,-1.394947647824406722e+01,2.620227300648209599e-03,6.112428311015963089e+01,0.000000000000000000e+00
1.005309649148733886e+00,1.049291946298990919e+00,-1.335176877775662341e+01,1.022977960407273290e+00,-1.634022917145533071e+01,1.903783250852333951e-03,4.786823498895603279e+01,0.000000000000000000e+00
1.005309649148733886e+00,9.927432785343747179e-01,-1.413716694115404948e+01,9.769442328659175834e-01,-1.578086410667348538e+01,2.005481014389143019e-03,5.100727233824997597e+01,0.000000000000000000e+00
8.796459430051422057e-01,9.330530181161685865e-01,-1.492256510455153240e+01,8.942439485884630113e-01,-1.778628558604766496e+01,1.928141083569441484e-03,4.766095871372608173e+01,0.000000000000000000e+00
8.796459430051422057e-01,8.702211650443727464e-01,-1.570796326794896025e+01,8.397370535805270819e-01,-1.706239307549507345e+01,1.984562740518303406e-03,5.473431490629905483e+01,0.000000000000000000e+00
7.539822368615504145e-01,8.042477193189870865e-01,-1.649336143134641475e+01,7.644237490885484876e-01,-1.875720918275005289e+01,1.783139007411838929e-03,4.556970466189240909e+01,0.000000000000000000e+00
